ID,Choice,Tcost,Urban,Walleye,Salmon,Panfish
5,1,28.5152,0,0.1894172,0,1.765068
5,0,76.6548,0,0.0346533,0.0208933,2.305171
5,0,64.254,0,0.0023445,0.3489647,0.1836469
5,0,62.724,0,0.0016101,0.3067525,0.0355202
5,0,68.9276,1,0.0008522,0.3292299,0.0502169
5,0,106.0336,0,0.8285007,0,0.5015054
6,0,36.9024,0,0.6906261,0,1.128466
6,0,20.308,1,0.7140083,0,1.390976
6,0,46.3096,1,0.7556086,0,1.279361
6,0,23.9016,1,0.5879535,0,1.246248
6,1,28.5152,0,0.1894172,0,1.765068
6,0,76.6548,0,0.0346533,0.0208933,2.305171
6,0,64.254,0,0.0023445,0.3489647,0.1836469
6,0,62.724,0,0.0016101,0.3067525,0.0355202
6,0,68.9276,1,0.0008522,0.3292299,0.0502169
6,0,106.0336,0,0.8285007,0,0.5015054
7,0,36.9024,0,0.6906261,0,1.128466
7,0,20.308,1,0.7140083,0,1.390976
7,0,46.3096,1,0.7556086,0,1.279361
7,0,23.9016,1,0.5879535,0,1.246248
7,1,28.5152,0,0.1894172,0,1.765068
7,0,76.6548,0,0.0346533,0.0208933,2.305171
7,0,64.254,0,0.0023445,0.3489647,0.1836469
7,0,62.724,0,0.0016101,0.3067525,0.0355202
7,0,68.9276,1,0.0008522,0.3292299,0.0502169
7,0,106.0336,0,0.8285007,0,0.5015054
8,0,36.9024,0,0.6906261,0,1.128466
8,0,20.308,1,0.7140083,0,1.390976
8,0,46.3096,1,0.7556086,0,1.279361
8,0,23.9016,1,0.5879535,0,1.246248
8,1,28.5152,0,0.1894172,0,1.765068
8,0,76.6548,0,0.0346533,0.0208933,2.305171
8,0,64.254,0,0.0023445,0.3489647,0.1836469
8,0,62.724,0,0.0016101,0.3067525,0.0355202
8,0,68.9276,1,0.0008522,0.3292299,0.0502169
8,0,106.0336,0,0.8285007,0,0.5015054
9,0,36.9024,0,0.6906261,0,1.128466
9,0,20.308,1,0.7140083,0,1.390976
9,0,46.3096,1,0.7556086,0,1.279361
9,0,23.9016,1,0.5879535,0,1.246248
9,1,28.5152,0,0.1894172,0,1.765068
9,0,76.6548,0,0.0346533,0.0208933,2.305171
9,0,64.254,0,0.0023445,0.3489647,0.1836469
9,0,62.724,0,0.0016101,0.3067525,0.0355202
9,0,68.9276,1,0.0008522,0.3292299,0.0502169
9,0,106.0336,0,0.8285007,0,0.5015054
10,0,59.82,0,0.6906261,0,1.128466
10,0,56.046,1,0.7140083,0,1.390976
10,0,83.76,1,0.7556086,0,1.279361
10,0,62.25,1,0.5879535,0,1.246248
10,0,72.372,0,0.1894172,0,1.765068
10,0,23.364,0,0.0346533,0.0208933,2.305171
10,1,3.564,0,0.0023445,0.3489647,0.1836469
10,0,18.87,0,0.0016101,0.3067525,0.0355202
10,0,38.19,1,0.0008522,0.3292299,0.0502169
10,0,140.79,0,0.8285007,0,0.5015054
11,0,59.82,0,0.6906261,0,1.128466
11,0,56.046,1,0.7140083,0,1.390976
11,0,83.76,1,0.7556086,0,1.279361
11,0,62.25,1,0.5879535,0,1.246248
11,0,72.372,0,0.1894172,0,1.765068
11,0,23.364,0,0.0346533,0.0208933,2.305171
11,1,3.564,0,0.0023445,0.3489647,0.1836469
11,0,18.87,0,0.0016101,0.3067525,0.0355202
11,0,38.19,1,0.0008522,0.3292299,0.0502169
11,0,140.79,0,0.8285007,0,0.5015054
12,0,59.82,0,0.6906261,0,1.128466
12,0,56.046,1,0.7140083,0,1.390976
12,0,83.76,1,0.7556086,0,1.279361
12,0,62.25,1,0.5879535,0,1.246248
12,0,72.372,0,0.1894172,0,1.765068
12,0,23.364,0,0.0346533,0.0208933,2.305171
12,1,3.564,0,0.0023445,0.3489647,0.1836469
12,0,18.87,0,0.0016101,0.3067525,0.0355202
12,0,38.19,1,0.0008522,0.3292299,0.0502169
12,0,140.79,0,0.8285007,0,0.5015054
13,0,59.82,0,0.6906261,0,1.128466
13,0,56.046,1,0.7140083,0,1.390976
13,0,83.76,1,0.7556086,0,1.279361
13,0,62.25,1,0.5879535,0,1.246248
13,0,72.372,0,0.1894172,0,1.765068
13,0,23.364,0,0.0346533,0.0208933,2.305171
13,1,3.564,0,0.0023445,0.3489647,0.1836469
13,0,18.87,0,0.0016101,0.3067525,0.0355202
13,0,38.19,1,0.0008522,0.3292299,0.0502169
13,0,140.79,0,0.8285007,0,0.5015054
14,0,59.82,0,0.6906261,0,1.128466
14,0,56.046,1,0.7140083,0,1.390976
14,0,83.76,1,0.7556086,0,1.279361
14,0,62.25,1,0.5879535,0,1.246248
14,0,72.372,0,0.1894172,0,1.765068
14,0,23.364,0,0.0346533,0.0208933,2.305171
14,1,3.564,0,0.0023445,0.3489647,0.1836469
14,0,18.87,0,0.0016101,0.3067525,0.0355202
14,0,38.19,1,0.0008522,0.3292299,0.0502169
14,0,140.79,0,0.8285007,0,0.5015054
15,0,59.82,0,0.6906261,0,1.128466
15,0,56.046,1,0.7140083,0,1.390976
15,0,83.76,1,0.7556086,0,1.279361
15,0,62.25,1,0.5879535,0,1.246248
15,0,72.372,0,0.1894172,0,1.765068
15,0,23.364,0,0.0346533,0.0208933,2.305171
15,1,3.564,0,0.0023445,0.3489647,0.1836469
15,0,18.87,0,0.0016101,0.3067525,0.0355202
15,0,38.19,1,0.0008522,0.3292299,0.0502169
15,0,140.79,0,0.8285007,0,0.5015054
16,0,59.82,0,0.6906261,0,1.128466
16,0,56.046,1,0.7140083,0,1.390976
16,0,83.76,1,0.7556086,0,1.279361
16,0,62.25,1,0.5879535,0,1.246248
16,0,72.372,0,0.1894172,0,1.765068
16,0,23.364,0,0.0346533,0.0208933,2.305171
16,1,3.564,0,0.0023445,0.3489647,0.1836469
16,0,18.87,0,0.0016101,0.3067525,0.0355202
16,0,38.19,1,0.0008522,0.3292299,0.0502169
16,0,140.79,0,0.8285007,0,0.5015054
17,0,59.82,0,0.6906261,0,1.128466
17,0,56.046,1,0.7140083,0,1.390976
17,0,83.76,1,0.7556086,0,1.279361
17,0,62.25,1,0.5879535,0,1.246248
17,0,72.372,0,0.1894172,0,1.765068
17,0,23.364,0,0.0346533,0.0208933,2.305171
17,1,3.564,0,0.0023445,0.3489647,0.1836469
17,0,18.87,0,0.0016101,0.3067525,0.0355202
17,0,38.19,1,0.0008522,0.3292299,0.0502169
17,0,140.79,0,0.8285007,0,0.5015054
18,0,74.80558,0,0.6906261,0,1.128466
18,0,73.72559,1,0.7140083,0,1.390976
18,0,99.79726,1,0.7556086,0,1.279361
18,0,77.23558,1,0.5879535,0,1.246248
18,0,86.53642,0,0.1894172,0,1.765068
18,1,7.180558,0,0.0346533,0.0208933,2.305171
18,0,25.61195,0,0.0023445,0.3489647,0.1836469
18,0,32.67251,0,0.0016101,0.3067525,0.0355202
18,0,49.87391,1,0.0008522,0.3292299,0.0502169
18,0,150.3012,0,0.8285007,0,0.5015054
19,0,74.80558,0,0.6906261,0,1.128466
19,0,73.72559,1,0.7140083,0,1.390976
19,0,99.79726,1,0.7556086,0,1.279361
19,0,77.23558,1,0.5879535,0,1.246248
19,0,86.53642,0,0.1894172,0,1.765068
19,1,7.180558,0,0.0346533,0.0208933,2.305171
19,0,25.61195,0,0.0023445,0.3489647,0.1836469
19,0,32.67251,0,0.0016101,0.3067525,0.0355202
19,0,49.87391,1,0.0008522,0.3292299,0.0502169
19,0,150.3012,0,0.8285007,0,0.5015054
20,0,74.80558,0,0.6906261,0,1.128466
20,0,73.72559,1,0.7140083,0,1.390976
20,0,99.79726,1,0.7556086,0,1.279361
20,0,77.23558,1,0.5879535,0,1.246248
20,0,86.53642,0,0.1894172,0,1.765068
20,1,7.180558,0,0.0346533,0.0208933,2.305171
20,0,25.61195,0,0.0023445,0.3489647,0.1836469
20,0,32.67251,0,0.0016101,0.3067525,0.0355202
20,0,49.87391,1,0.0008522,0.3292299,0.0502169
20,0,150.3012,0,0.8285007,0,0.5015054
21,0,74.80558,0,0.6906261,0,1.128466
21,0,73.72559,1,0.7140083,0,1.390976
21,0,99.79726,1,0.7556086,0,1.279361
21,0,77.23558,1,0.5879535,0,1.246248
21,0,86.53642,0,0.1894172,0,1.765068
21,1,7.180558,0,0.0346533,0.0208933,2.305171
21,0,25.61195,0,0.0023445,0.3489647,0.1836469
21,0,32.67251,0,0.0016101,0.3067525,0.0355202
21,0,49.87391,1,0.0008522,0.3292299,0.0502169
21,0,150.3012,0,0.8285007,0,0.5015054
22,0,74.80558,0,0.6906261,0,1.128466
22,0,73.72559,1,0.7140083,0,1.390976
22,0,99.79726,1,0.7556086,0,1.279361
22,0,77.23558,1,0.5879535,0,1.246248
22,0,86.53642,0,0.1894172,0,1.765068
22,1,7.180558,0,0.0346533,0.0208933,2.305171
22,0,25.61195,0,0.0023445,0.3489647,0.1836469
22,0,32.67251,0,0.0016101,0.3067525,0.0355202
22,0,49.87391,1,0.0008522,0.3292299,0.0502169
22,0,150.3012,0,0.8285007,0,0.5015054
23,0,74.80558,0,0.6906261,0,1.128466
23,0,73.72559,1,0.7140083,0,1.390976
23,0,99.79726,1,0.7556086,0,1.279361
23,0,77.23558,1,0.5879535,0,1.246248
23,0,86.53642,0,0.1894172,0,1.765068
23,1,7.180558,0,0.0346533,0.0208933,2.305171
23,0,25.61195,0,0.0023445,0.3489647,0.1836469
23,0,32.67251,0,0.0016101,0.3067525,0.0355202
23,0,49.87391,1,0.0008522,0.3292299,0.0502169
23,0,150.3012,0,0.8285007,0,0.5015054
24,0,55.83625,0,0.6906261,0,1.128466
24,0,54.75625,1,0.7140083,0,1.390976
24,0,78.10375,1,0.7556086,0,1.279361
24,0,60.2325,1,0.5879535,0,1.246248
24,0,66.205,0,0.1894172,0,1.765068
24,0,12.065,0,0.0346533,0.0208933,2.305171
24,1,6.0625,0,0.0023445,0.3489647,0.1836469
24,0,12.215,0,0.0016101,0.3067525,0.0355202
24,0,27.14625,1,0.0008522,0.3292299,0.0502169
24,0,122.2513,0,0.8285007,0,0.5015054
25,0,55.83625,0,0.6906261,0,1.128466
25,0,54.75625,1,0.7140083,0,1.390976
25,0,78.10375,1,0.7556086,0,1.279361
25,0,60.2325,1,0.5879535,0,1.246248
25,0,66.205,0,0.1894172,0,1.765068
25,0,12.065,0,0.0346533,0.0208933,2.305171
25,1,6.0625,0,0.0023445,0.3489647,0.1836469
25,0,12.215,0,0.0016101,0.3067525,0.0355202
25,0,27.14625,1,0.0008522,0.3292299,0.0502169
25,0,122.2513,0,0.8285007,0,0.5015054
26,0,55.83625,0,0.6906261,0,1.128466
26,0,54.75625,1,0.7140083,0,1.390976
26,0,78.10375,1,0.7556086,0,1.279361
26,0,60.2325,1,0.5879535,0,1.246248
26,0,66.205,0,0.1894172,0,1.765068
26,0,12.065,0,0.0346533,0.0208933,2.305171
26,1,6.0625,0,0.0023445,0.3489647,0.1836469
26,0,12.215,0,0.0016101,0.3067525,0.0355202
26,0,27.14625,1,0.0008522,0.3292299,0.0502169
26,0,122.2513,0,0.8285007,0,0.5015054
27,0,55.83625,0,0.6906261,0,1.128466
27,0,54.75625,1,0.7140083,0,1.390976
27,0,78.10375,1,0.7556086,0,1.279361
27,0,60.2325,1,0.5879535,0,1.246248
27,0,66.205,0,0.1894172,0,1.765068
27,0,12.065,0,0.0346533,0.0208933,2.305171
27,1,6.0625,0,0.0023445,0.3489647,0.1836469
27,0,12.215,0,0.0016101,0.3067525,0.0355202
27,0,27.14625,1,0.0008522,0.3292299,0.0502169
27,0,122.2513,0,0.8285007,0,0.5015054
28,0,55.83625,0,0.6906261,0,1.128466
28,0,54.75625,1,0.7140083,0,1.390976
28,0,78.10375,1,0.7556086,0,1.279361
28,0,60.2325,1,0.5879535,0,1.246248
28,0,66.205,0,0.1894172,0,1.765068
28,0,12.065,0,0.0346533,0.0208933,2.305171
28,1,6.0625,0,0.0023445,0.3489647,0.1836469
28,0,12.215,0,0.0016101,0.3067525,0.0355202
28,0,27.14625,1,0.0008522,0.3292299,0.0502169
28,0,122.2513,0,0.8285007,0,0.5015054
29,0,55.83625,0,0.6906261,0,1.128466
29,0,54.75625,1,0.7140083,0,1.390976
29,0,78.10375,1,0.7556086,0,1.279361
29,0,60.2325,1,0.5879535,0,1.246248
29,0,66.205,0,0.1894172,0,1.765068
29,0,12.065,0,0.0346533,0.0208933,2.305171
29,1,6.0625,0,0.0023445,0.3489647,0.1836469
29,0,12.215,0,0.0016101,0.3067525,0.0355202
29,0,27.14625,1,0.0008522,0.3292299,0.0502169
29,0,122.2513,0,0.8285007,0,0.5015054
30,0,55.83625,0,0.6906261,0,1.128466
30,0,54.75625,1,0.7140083,0,1.390976
30,0,78.10375,1,0.7556086,0,1.279361
30,0,60.2325,1,0.5879535,0,1.246248
30,0,66.205,0,0.1894172,0,1.765068
30,0,12.065,0,0.0346533,0.0208933,2.305171
30,1,6.0625,0,0.0023445,0.3489647,0.1836469
30,0,12.215,0,0.0016101,0.3067525,0.0355202
30,0,27.14625,1,0.0008522,0.3292299,0.0502169
30,0,122.2513,0,0.8285007,0,0.5015054
31,0,55.83625,0,0.6906261,0,1.128466
31,0,54.75625,1,0.7140083,0,1.390976
31,0,78.10375,1,0.7556086,0,1.279361
31,0,60.2325,1,0.5879535,0,1.246248
31,0,66.205,0,0.1894172,0,1.765068
31,0,12.065,0,0.0346533,0.0208933,2.305171
31,1,6.0625,0,0.0023445,0.3489647,0.1836469
31,0,12.215,0,0.0016101,0.3067525,0.0355202
31,0,27.14625,1,0.0008522,0.3292299,0.0502169
31,0,122.2513,0,0.8285007,0,0.5015054
32,0,55.83625,0,0.6906261,0,1.128466
32,0,54.75625,1,0.7140083,0,1.390976
32,0,78.10375,1,0.7556086,0,1.279361
32,0,60.2325,1,0.5879535,0,1.246248
32,0,66.205,0,0.1894172,0,1.765068
32,0,12.065,0,0.0346533,0.0208933,2.305171
32,1,6.0625,0,0.0023445,0.3489647,0.1836469
32,0,12.215,0,0.0016101,0.3067525,0.0355202
32,0,27.14625,1,0.0008522,0.3292299,0.0502169
32,0,122.2513,0,0.8285007,0,0.5015054
33,0,55.83625,0,0.6906261,0,1.128466
33,0,54.75625,1,0.7140083,0,1.390976
33,0,78.10375,1,0.7556086,0,1.279361
33,0,60.2325,1,0.5879535,0,1.246248
33,0,66.205,0,0.1894172,0,1.765068
33,0,12.065,0,0.0346533,0.0208933,2.305171
33,1,6.0625,0,0.0023445,0.3489647,0.1836469
33,0,12.215,0,0.0016101,0.3067525,0.0355202
33,0,27.14625,1,0.0008522,0.3292299,0.0502169
33,0,122.2513,0,0.8285007,0,0.5015054
34,0,55.83625,0,0.6906261,0,1.128466
34,0,54.75625,1,0.7140083,0,1.390976
34,0,78.10375,1,0.7556086,0,1.279361
34,0,60.2325,1,0.5879535,0,1.246248
34,0,66.205,0,0.1894172,0,1.765068
34,0,12.065,0,0.0346533,0.0208933,2.305171
34,1,6.0625,0,0.0023445,0.3489647,0.1836469
34,0,12.215,0,0.0016101,0.3067525,0.0355202
34,0,27.14625,1,0.0008522,0.3292299,0.0502169
34,0,122.2513,0,0.8285007,0,0.5015054
35,0,55.83625,0,0.6906261,0,1.128466
35,0,54.75625,1,0.7140083,0,1.390976
35,0,78.10375,1,0.7556086,0,1.279361
35,0,60.2325,1,0.5879535,0,1.246248
35,0,66.205,0,0.1894172,0,1.765068
35,0,12.065,0,0.0346533,0.0208933,2.305171
35,1,6.0625,0,0.0023445,0.3489647,0.1836469
35,0,12.215,0,0.0016101,0.3067525,0.0355202
35,0,27.14625,1,0.0008522,0.3292299,0.0502169
35,0,122.2513,0,0.8285007,0,0.5015054
36,0,55.83625,0,0.6906261,0,1.128466
36,0,54.75625,1,0.7140083,0,1.390976
36,0,78.10375,1,0.7556086,0,1.279361
36,0,60.2325,1,0.5879535,0,1.246248
36,0,66.205,0,0.1894172,0,1.765068
36,0,12.065,0,0.0346533,0.0208933,2.305171
36,1,6.0625,0,0.0023445,0.3489647,0.1836469
36,0,12.215,0,0.0016101,0.3067525,0.0355202
36,0,27.14625,1,0.0008522,0.3292299,0.0502169
36,0,122.2513,0,0.8285007,0,0.5015054
37,0,55.83625,0,0.6906261,0,1.128466
37,0,54.75625,1,0.7140083,0,1.390976
37,0,78.10375,1,0.7556086,0,1.279361
37,0,60.2325,1,0.5879535,0,1.246248
37,0,66.205,0,0.1894172,0,1.765068
37,0,12.065,0,0.0346533,0.0208933,2.305171
37,1,6.0625,0,0.0023445,0.3489647,0.1836469
37,0,12.215,0,0.0016101,0.3067525,0.0355202
37,0,27.14625,1,0.0008522,0.3292299,0.0502169
37,0,122.2513,0,0.8285007,0,0.5015054
38,0,55.83625,0,0.6906261,0,1.128466
38,0,54.75625,1,0.7140083,0,1.390976
38,0,78.10375,1,0.7556086,0,1.279361
38,0,60.2325,1,0.5879535,0,1.246248
38,0,66.205,0,0.1894172,0,1.765068
38,0,12.065,0,0.0346533,0.0208933,2.305171
38,1,6.0625,0,0.0023445,0.3489647,0.1836469
38,0,12.215,0,0.0016101,0.3067525,0.0355202
38,0,27.14625,1,0.0008522,0.3292299,0.0502169
38,0,122.2513,0,0.8285007,0,0.5015054
39,0,55.83625,0,0.6906261,0,1.128466
39,0,54.75625,1,0.7140083,0,1.390976
39,0,78.10375,1,0.7556086,0,1.279361
39,0,60.2325,1,0.5879535,0,1.246248
39,0,66.205,0,0.1894172,0,1.765068
39,0,12.065,0,0.0346533,0.0208933,2.305171
39,1,6.0625,0,0.0023445,0.3489647,0.1836469
39,0,12.215,0,0.0016101,0.3067525,0.0355202
39,0,27.14625,1,0.0008522,0.3292299,0.0502169
39,0,122.2513,0,0.8285007,0,0.5015054
40,0,55.83625,0,0.6906261,0,1.128466
40,0,54.75625,1,0.7140083,0,1.390976
40,0,78.10375,1,0.7556086,0,1.279361
40,0,60.2325,1,0.5879535,0,1.246248
40,0,66.205,0,0.1894172,0,1.765068
40,0,12.065,0,0.0346533,0.0208933,2.305171
40,1,6.0625,0,0.0023445,0.3489647,0.1836469
40,0,12.215,0,0.0016101,0.3067525,0.0355202
40,0,27.14625,1,0.0008522,0.3292299,0.0502169
40,0,122.2513,0,0.8285007,0,0.5015054
41,0,55.83625,0,0.6906261,0,1.128466
41,0,54.75625,1,0.7140083,0,1.390976
41,0,78.10375,1,0.7556086,0,1.279361
41,0,60.2325,1,0.5879535,0,1.246248
41,0,66.205,0,0.1894172,0,1.765068
41,0,12.065,0,0.0346533,0.0208933,2.305171
41,1,6.0625,0,0.0023445,0.3489647,0.1836469
41,0,12.215,0,0.0016101,0.3067525,0.0355202
41,0,27.14625,1,0.0008522,0.3292299,0.0502169
41,0,122.2513,0,0.8285007,0,0.5015054
42,0,55.83625,0,0.6906261,0,1.128466
42,0,54.75625,1,0.7140083,0,1.390976
42,0,78.10375,1,0.7556086,0,1.279361
42,0,60.2325,1,0.5879535,0,1.246248
42,0,66.205,0,0.1894172,0,1.765068
42,0,12.065,0,0.0346533,0.0208933,2.305171
42,1,6.0625,0,0.0023445,0.3489647,0.1836469
42,0,12.215,0,0.0016101,0.3067525,0.0355202
42,0,27.14625,1,0.0008522,0.3292299,0.0502169
42,0,122.2513,0,0.8285007,0,0.5015054
43,0,55.83625,0,0.6906261,0,1.128466
43,0,54.75625,1,0.7140083,0,1.390976
43,0,78.10375,1,0.7556086,0,1.279361
43,0,60.2325,1,0.5879535,0,1.246248
43,0,66.205,0,0.1894172,0,1.765068
43,0,12.065,0,0.0346533,0.0208933,2.305171
43,1,6.0625,0,0.0023445,0.3489647,0.1836469
43,0,12.215,0,0.0016101,0.3067525,0.0355202
43,0,27.14625,1,0.0008522,0.3292299,0.0502169
43,0,122.2513,0,0.8285007,0,0.5015054
44,0,55.83625,0,0.6906261,0,1.128466
44,0,54.75625,1,0.7140083,0,1.390976
44,0,78.10375,1,0.7556086,0,1.279361
44,0,60.2325,1,0.5879535,0,1.246248
44,0,66.205,0,0.1894172,0,1.765068
44,0,12.065,0,0.0346533,0.0208933,2.305171
44,1,6.0625,0,0.0023445,0.3489647,0.1836469
44,0,12.215,0,0.0016101,0.3067525,0.0355202
44,0,27.14625,1,0.0008522,0.3292299,0.0502169
44,0,122.2513,0,0.8285007,0,0.5015054
45,0,55.83625,0,0.6906261,0,1.128466
45,0,54.75625,1,0.7140083,0,1.390976
45,0,78.10375,1,0.7556086,0,1.279361
45,0,60.2325,1,0.5879535,0,1.246248
45,0,66.205,0,0.1894172,0,1.765068
45,0,12.065,0,0.0346533,0.0208933,2.305171
45,1,6.0625,0,0.0023445,0.3489647,0.1836469
45,0,12.215,0,0.0016101,0.3067525,0.0355202
45,0,27.14625,1,0.0008522,0.3292299,0.0502169
45,0,122.2513,0,0.8285007,0,0.5015054
46,0,55.83625,0,0.6906261,0,1.128466
46,0,54.75625,1,0.7140083,0,1.390976
46,0,78.10375,1,0.7556086,0,1.279361
46,0,60.2325,1,0.5879535,0,1.246248
46,0,66.205,0,0.1894172,0,1.765068
46,0,12.065,0,0.0346533,0.0208933,2.305171
46,1,6.0625,0,0.0023445,0.3489647,0.1836469
46,0,12.215,0,0.0016101,0.3067525,0.0355202
46,0,27.14625,1,0.0008522,0.3292299,0.0502169
46,0,122.2513,0,0.8285007,0,0.5015054
47,0,55.83625,0,0.6906261,0,1.128466
47,0,54.75625,1,0.7140083,0,1.390976
47,0,78.10375,1,0.7556086,0,1.279361
47,0,60.2325,1,0.5879535,0,1.246248
47,0,66.205,0,0.1894172,0,1.765068
47,0,12.065,0,0.0346533,0.0208933,2.305171
47,1,6.0625,0,0.0023445,0.3489647,0.1836469
47,0,12.215,0,0.0016101,0.3067525,0.0355202
47,0,27.14625,1,0.0008522,0.3292299,0.0502169
47,0,122.2513,0,0.8285007,0,0.5015054
48,0,55.83625,0,0.6906261,0,1.128466
48,0,54.75625,1,0.7140083,0,1.390976
48,0,78.10375,1,0.7556086,0,1.279361
48,0,60.2325,1,0.5879535,0,1.246248
48,0,66.205,0,0.1894172,0,1.765068
48,0,12.065,0,0.0346533,0.0208933,2.305171
48,1,6.0625,0,0.0023445,0.3489647,0.1836469
48,0,12.215,0,0.0016101,0.3067525,0.0355202
48,0,27.14625,1,0.0008522,0.3292299,0.0502169
48,0,122.2513,0,0.8285007,0,0.5015054
49,0,55.83625,0,0.6906261,0,1.128466
49,0,54.75625,1,0.7140083,0,1.390976
49,0,78.10375,1,0.7556086,0,1.279361
49,0,60.2325,1,0.5879535,0,1.246248
49,0,66.205,0,0.1894172,0,1.765068
49,0,12.065,0,0.0346533,0.0208933,2.305171
49,1,6.0625,0,0.0023445,0.3489647,0.1836469
49,0,12.215,0,0.0016101,0.3067525,0.0355202
49,0,27.14625,1,0.0008522,0.3292299,0.0502169
49,0,122.2513,0,0.8285007,0,0.5015054
50,0,31.327,0,0.6906261,0,1.128466
50,0,19.799,1,0.7140083,0,1.390976
50,0,32.677,1,0.7556086,0,1.279361
50,0,17.082,1,0.5879535,0,1.246248
50,1,2.807,0,0.1894172,0,1.765068
50,0,61.287,0,0.0346533,0.0208933,2.305171
50,0,52.686,0,0.0023445,0.3489647,0.1836469
50,0,49.549,0,0.0016101,0.3067525,0.0355202
50,0,54.486,1,0.0008522,0.3292299,0.0502169
50,0,62.894,0,0.8285007,0,0.5015054
51,0,31.327,0,0.6906261,0,1.128466
51,0,19.799,1,0.7140083,0,1.390976
51,0,32.677,1,0.7556086,0,1.279361
51,0,17.082,1,0.5879535,0,1.246248
51,1,2.807,0,0.1894172,0,1.765068
51,0,61.287,0,0.0346533,0.0208933,2.305171
51,0,52.686,0,0.0023445,0.3489647,0.1836469
51,0,49.549,0,0.0016101,0.3067525,0.0355202
51,0,54.486,1,0.0008522,0.3292299,0.0502169
51,0,62.894,0,0.8285007,0,0.5015054
52,0,31.327,0,0.6906261,0,1.128466
52,0,19.799,1,0.7140083,0,1.390976
52,0,32.677,1,0.7556086,0,1.279361
52,0,17.082,1,0.5879535,0,1.246248
52,1,2.807,0,0.1894172,0,1.765068
52,0,61.287,0,0.0346533,0.0208933,2.305171
52,0,52.686,0,0.0023445,0.3489647,0.1836469
52,0,49.549,0,0.0016101,0.3067525,0.0355202
52,0,54.486,1,0.0008522,0.3292299,0.0502169
52,0,62.894,0,0.8285007,0,0.5015054
53,0,31.327,0,0.6906261,0,1.128466
53,0,19.799,1,0.7140083,0,1.390976
53,0,32.677,1,0.7556086,0,1.279361
53,0,17.082,1,0.5879535,0,1.246248
53,1,2.807,0,0.1894172,0,1.765068
53,0,61.287,0,0.0346533,0.0208933,2.305171
53,0,52.686,0,0.0023445,0.3489647,0.1836469
53,0,49.549,0,0.0016101,0.3067525,0.0355202
53,0,54.486,1,0.0008522,0.3292299,0.0502169
53,0,62.894,0,0.8285007,0,0.5015054
54,0,31.327,0,0.6906261,0,1.128466
54,0,19.799,1,0.7140083,0,1.390976
54,0,32.677,1,0.7556086,0,1.279361
54,0,17.082,1,0.5879535,0,1.246248
54,1,2.807,0,0.1894172,0,1.765068
54,0,61.287,0,0.0346533,0.0208933,2.305171
54,0,52.686,0,0.0023445,0.3489647,0.1836469
54,0,49.549,0,0.0016101,0.3067525,0.0355202
54,0,54.486,1,0.0008522,0.3292299,0.0502169
54,0,62.894,0,0.8285007,0,0.5015054
55,0,31.327,0,0.6906261,0,1.128466
55,0,19.799,1,0.7140083,0,1.390976
55,0,32.677,1,0.7556086,0,1.279361
55,0,17.082,1,0.5879535,0,1.246248
55,1,2.807,0,0.1894172,0,1.765068
